"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"";"";1;"";;;
2;"C1, C17, C19, C20";"C_0603_1608Metric";4;"4.7uF";;;
3;"C2, C3, C11, C12";"C_0402_1005Metric";4;"12pF";;;
4;"C4, C10, C23";"C_0402_1005Metric";3;"100nF";;;
5;"C5, C18, C21, C22";"C_0603_1608Metric";4;"1uF";;;
6;"C6";"C_0603_1608Metric";1;"1.0uF";;;
7;"C7, C9";"C_0402_1005Metric";2;"N.C.";;;
8;"C8";"C_0402_1005Metric";1;"100pF";;;
9;"C13";"C_0402_1005Metric";1;"0.8pF";;;
10;"C14";"C_0402_1005Metric";1;"0.5pF";;;
11;"C15";"C_0402_1005Metric";1;"1.5pF";;;
12;"C16";"C_0402_1005Metric";1;"820pF";;;
13;"D10, D11";"LED_0603_1608Metric";2;"LED";;;
14;"Display1";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Socket";;;
15;"J1";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"Conn_01x02_Socket";;;
16;"J2";"HRO_TYPE-C-31-M-12";1;"TYPE-C-31-M-12";;;
17;"L1";"L_0402_1005Metric";1;"4.7nH";;;
18;"MCU_flash1";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Socket";;;
19;"R1, R2";"R_0402_1005Metric";2;"1.5k";;;
20;"R3";"R_0402_1005Metric";1;"3.0k";;;
21;"R4";"R_0402_1005Metric";1;"5.9k";;;
22;"R5";"R_0402_1005Metric";1;"0";;;
23;"R6";"R_0402_1005Metric";1;"47k";;;
24;"R7, R9, R10";"R_0402_1005Metric";3;"10k";;;
25;"R11, R12";"R_0402_1005Metric";2;"5.1k";;;
26;"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9";"SW_Hotswap_Kailh_MX";9;"Keyswitch";;;
27;"SW10";"SW_Push_1P1T_NO_CK_KMR2";1;"SW_Push";;;
28;"SW11";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"RotaryEncoder_Switch";;;
29;"U1";"AQFN-73-1EP_7x7mm_P0.5mm_NRF52840-custom";1;"NRF52840-QIAA-R";;;
30;"U2";"QFN50P300X300X100-17N";1;"BQ24074RGTR";;;
31;"VR1";"SOT95P237X112-3N";1;"MCP1700T-3302E_TT";;;
32;"X1";"Crystal_SMD_2016-4Pin_2.0x1.6mm";1;"32MHz";;;
33;"X2";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"32.768kHz";;;
